message_id,logid,symbol,meaning,type,category,severity,wazuh_rule_id,source_url
22204,0100022204,LOG_ID_AUTO_GEN_CERT_PENDING,Certificate pending to auto-generate,Event,system,Information,118520,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22204/22204-log-id-auto-gen-cert-pending
22205,0100022205,LOG_ID_AUTO_GEN_CERT_SUCC,Certificate succeed to auto-generate,Event,system,Information,118521,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22205/22205-log-id-auto-gen-cert-succ
22206,0100022206,LOG_ID_CRL_EXPIRED,CRL is expired,Event,system,Warning,118522,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22206/22206-log-id-crl-expired
22207,0100022207,LOG_ID_CERT_EXPIRE_WARNING,Certificate will expire soon,Event,system,Warning,118523,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22207/22207-log-id-cert-expire-warning
22220,0100022220,LOG_ID_EXT_RESOURCE,External resource updated,Event,system,Information,118524,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22220/22220-log-id-ext-resource
22221,0100022221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,118525,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22221/22221-log-id-ext-resource-fail
22222,0100022222,LOG_ID_EXT_RESOURCE_LOAD,External resource loaded,Event,system,Notice,118526,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22222/22222-log-id-ext-resource-load
22223,0100022223,LOG_ID_EXT_RESOURCE_DEBUG,External resource debug,Event,system,Debug,118527,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22223/22223-log-id-ext-resource-debug
22224,0100022224,LOG_ID_EXT_RESOURCE_OVERFLOW,External resource overflow,Event,system,Warning,118528,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22224/22224-log-id-ext-resource-overflow
22700,0100022700,LOG_ID_IPS_FAIL_OPEN,IPS session scan paused,Event,system,Critical,118529,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22700/22700-log-id-ips-fail-open
22701,0100022701,LOG_ID_IPS_FAIL_OPEN_END,IPS session scan resumed,Event,system,Critical,118530,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22701/22701-log-id-ips-fail-open-end
22750,0100022750,LOG_ID_METERED_BILLING_ACCEPTED,Metered billing usage event accepted,Event,system,Notice,118531,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22750/22750-log-id-metered-billing-accepted
22751,0100022751,LOG_ID_METERED_BILLING_FAIL,Metered billing usage event bad reuest,Event,system,Critical,118532,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22751/22751-log-id-metered-billing-fail
22752,0100022752,LOG_ID_METERED_BILLING_VALID,Metered billing status is valid,Event,system,Notice,118533,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22752/22752-log-id-metered-billing-valid
22753,0100022753,LOG_ID_METERED_BILLING_INVALID,Metered billing status is invalid,Event,system,Critical,118534,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22753/22753-log-id-metered-billing-invalid
22800,0100022800,LOG_ID_SCAN_SERV_FAIL,Scan services session failed,Event,system,Critical,118535,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22800/22800-log-id-scan-serv-fail
22802,0100022802,LOG_ID_ENTER_FD_CONSERVE_MODE,File descriptor conserve mode entered,Event,system,Critical,118536,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22802/22802-log-id-enter-fd-conserve-mode
22803,0100022803,LOG_ID_LEAVE_FD_CONSERVE_MODE,File descriptor conserve mode exited,Event,system,Critical,118537,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22803/22803-log-id-leave-fd-conserve-mode
22804,0100022804,LOG_ID_LIC_STATUS_CHG,License status changed,Event,system,Critical,118538,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22804/22804-log-id-lic-status-chg
22805,0100022805,LOG_ID_FAIL_TO_VALIDATE_LIC,License validation failure,Event,system,Warning,118539,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22805/22805-log-id-fail-to-validate-lic
22806,0100022806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,118540,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22806/22806-log-id-dup-lic
22807,0100022807,LOG_ID_VDOM_LIC,VDOM license status changed,Event,system,Critical,118541,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22807/22807-log-id-vdom-lic
22808,0100022808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,118542,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22808/22808-log-id-lic-expire
22809,0100022809,LOG_ID_LIC_WILL_EXPIRE,VM license expiring,Event,system,Warning,118543,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22809/22809-log-id-lic-will-expire
22810,0100022810,LOG_ID_SCANUNIT_ERROR_BLOCK,Scan error - traffic blocked,Event,system,Warning,118544,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22810/22810-log-id-scanunit-error-block
22811,0100022811,LOG_ID_SCANUNIT_ERROR_PASS,Scan error - traffic passed,Event,system,Notice,118545,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22811/22811-log-id-scanunit-error-pass
22812,0100022812,LOG_ID_SCANUNIT_AVENG_RELOAD,Scanunit is reloading AV engine,Event,system,Notice,118546,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22812/22812-log-id-scanunit-aveng-reload
22813,0100022813,LOG_ID_SCANUNIT_AVDB_RELOAD,Scanunit reloaded AV Database,Event,system,Notice,118547,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22813/22813-log-id-scanunit-avdb-reload
22814,0100022814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,118548,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22814/22814-log-id-scanunit-avdb-reload-error
22815,0100022815,LOG_ID_SCANUNIT_AVDB_LOAD,Scanunit loaded AV Database,Event,system,Notice,118549,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22815/22815-log-id-scanunit-avdb-load
22816,0100022816,LOG_ID_SCANUNIT_AVDB_LOAD_ERROR,Scanunit AV Database load error,Event,system,Error,118550,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22816/22816-log-id-scanunit-avdb-load-error
